item_category_id,item_category_name
0,Headphones
1,Accessories
2,Accessories
3,Accessories
4,Accessories
5,Accessories
6,Accessories
7,Accessories
8,Tickets
9,Delivery
10,Consoles 
11,Consoles 
12,Consoles 
13,Consoles 
14,Consoles 
15,Consoles 
16,Consoles 
17,Consoles 
18,Games
19,Games
20,Games
21,Games
22,Games
23,Games
24,Games
25,Games
26,Games
27,Games
28,Games
29,Games
30,Games
31,Games
32,Cards
33,Cards
34,Cards
35,Cards
36,Cards
37,Movies
38,Movies
39,Movies
40,Movies
41,Movies
42,Books
43,Books
44,Books
45,Books
46,Books
47,Books
48,Books
49,Books
50,Books
51,Books
52,Books
53,Books
54,Books
55,Music
56,Music
57,Music
58,Music
59,Music
60,Music
61,Gifts 
62,Gifts 
63,Gifts 
64,Gifts 
65,Gifts 
66,Gifts 
67,Gifts 
68,Gifts 
69,Gifts 
70,Gifts 
71,Gifts 
72,Gifts 
73,Programs 
74,Programs 
75,Programs 
76,Programs 
77,Programs 
78,Programs 
79,Official
80,Official
81,Carriers 
82,Carriers 
83,Food
